iucn_sid,year,cat,cat_txt,cat_score
2811,1983,LC,Least Concern,0
2811,1986,LC,Least Concern,0
2811,1988,LC,Least Concern,0
2811,1990,LC,Least Concern,0
2811,1994,LC,Least Concern,0
2811,1996,LC,Least Concern,0
4292,1996,VU,Vulnerable,0.4
4292,2000,VU,Vulnerable,0.4
4292,2009,VU,Vulnerable,0.4
4292,2019,EN,Endangered,0.6
4592,1996,VU,Vulnerable,0.4
4592,2004,EN,Endangered,0.6
4615,1982,LC,Least Concern,0
4615,1986,LC,Least Concern,0
4615,1988,LC,Least Concern,0
4615,1990,LC,Least Concern,0
4615,1994,LC,Least Concern,0
4615,1996,LC,Least Concern,0
4615,2004,LC,Least Concern,0
13006,1965,T,"""Less rare but believed to be threatened-requires watching""",0.6
13006,1986,EN,Endangered,0.6
13006,1988,EN,Endangered,0.6
13006,1990,VU,Vulnerable,0.4
13006,1994,VU,Vulnerable,0.4
13006,1996,VU,Vulnerable,0.4
13006,2008,LC,Least Concern,0
13006,2018,LC,Least Concern,0
16564,1996,LC,Lower Risk/least concern,0
16564,2008,LC,Least Concern,0
16564,2019,LC,Least Concern,0
20733,1996,CD,Lower Risk/conservation dependent,0.3
20733,2018,LC,Least Concern,0
22137,1983,VU,Vulnerable,0.4
22137,1986,VU,Vulnerable,0.4
22137,1988,VU,Vulnerable,0.4
22137,1990,VU,Vulnerable,0.4
22137,1994,VU,Vulnerable,0.4
22137,1996,VU,Vulnerable,0.4
39341,2000,NT,Lower Risk/near threatened,0.2
39341,2009,VU,Vulnerable,0.4
39341,2019,EN,Endangered,0.6
39378,2000,LC,Least Concern,0
39378,2009,LC,Least Concern,0
39378,2019,LC,Least Concern,0
39381,2000,NT,Lower Risk/near threatened,0.2
39381,2009,NT,Near Threatened,0.2
39381,2019,NT,Near Threatened,0.2
41714,2019,NT,Near Threatened,0.2
22693182,1988,T,Threatened,0.6
22693182,1994,VU,Vulnerable,0.4
22693182,1996,VU,Vulnerable,0.4
22693182,2000,VU,Vulnerable,0.4
22693182,2004,VU,Vulnerable,0.4
22693182,2006,VU,Vulnerable,0.4
22693182,2008,VU,Vulnerable,0.4
22693182,2012,VU,Vulnerable,0.4
22693182,2016,VU,Vulnerable,0.4
22693305,1988,LC,Lower Risk/least concern,0
22693305,1994,LC,Lower Risk/least concern,0
22693305,2000,LC,Lower Risk/least concern,0
22693305,2004,LC,Least Concern,0
22693305,2008,LC,Least Concern,0
22693305,2009,LC,Least Concern,0
22693305,2012,LC,Least Concern,0
22693305,2016,LC,Least Concern,0
22693336,1988,LC,Lower Risk/least concern,0
22693336,1994,LC,Lower Risk/least concern,0
22693336,2000,LC,Lower Risk/least concern,0
22693336,2004,LC,Least Concern,0
22693336,2008,LC,Least Concern,0
22693336,2009,LC,Least Concern,0
22693336,2012,LC,Least Concern,0
22693336,2016,LC,Least Concern,0
22693336,2019,LC,Least Concern,0
22693735,1988,LC,Lower Risk/least concern,0
22693735,1994,LC,Lower Risk/least concern,0
22693735,2000,LC,Lower Risk/least concern,0
22693735,2004,LC,Least Concern,0
22693735,2008,LC,Least Concern,0
22693735,2009,LC,Least Concern,0
22693735,2012,LC,Least Concern,0
22693735,2016,LC,Least Concern,0
22694740,1988,LC,Lower Risk/least concern,0
22694740,1994,LC,Lower Risk/least concern,0
22694740,2000,LC,Lower Risk/least concern,0
22694740,2004,LC,Least Concern,0
22694740,2008,LC,Least Concern,0
22694740,2009,LC,Least Concern,0
22694740,2012,LC,Least Concern,0
22694740,2016,LC,Least Concern,0
22694740,2018,LC,Least Concern,0
22694794,1988,LC,Lower Risk/least concern,0
22694794,1994,LC,Lower Risk/least concern,0
22694794,2000,LC,Lower Risk/least concern,0
22694794,2004,LC,Least Concern,0
22694794,2008,LC,Least Concern,0
22694794,2009,LC,Least Concern,0
22694794,2012,LC,Least Concern,0
22694794,2016,LC,Least Concern,0
22694794,2018,LC,Least Concern,0
22694799,1988,LC,Lower Risk/least concern,0
22694799,1994,LC,Lower Risk/least concern,0
22694799,2000,LC,Lower Risk/least concern,0
22694799,2004,LC,Least Concern,0
22694799,2008,LC,Least Concern,0
22694799,2009,LC,Least Concern,0
22694799,2012,LC,Least Concern,0
22694799,2016,LC,Least Concern,0
22694799,2018,LC,Least Concern,0
22696694,1988,LC,Lower Risk/least concern,0
22696694,1994,LC,Lower Risk/least concern,0
22696694,2000,LC,Lower Risk/least concern,0
22696694,2004,LC,Least Concern,0
22696694,2008,LC,Least Concern,0
22696694,2009,LC,Least Concern,0
22696694,2012,LC,Least Concern,0
22696694,2016,LC,Least Concern,0
22696694,2018,LC,Least Concern,0
22696698,1988,LC,Lower Risk/least concern,0
22696698,1994,LC,Lower Risk/least concern,0
22696698,2000,LC,Lower Risk/least concern,0
22696698,2004,LC,Least Concern,0
22696698,2008,LC,Least Concern,0
22696698,2009,LC,Least Concern,0
22696698,2012,LC,Least Concern,0
22696698,2016,LC,Least Concern,0
22696698,2018,LC,Least Concern,0
22697733,1988,LC,Lower Risk/least concern,0
22697733,1994,LC,Lower Risk/least concern,0
22697733,2000,LC,Lower Risk/least concern,0
22697733,2004,LC,Least Concern,0
22697733,2008,LC,Least Concern,0
22697733,2009,LC,Least Concern,0
22697733,2012,LC,Least Concern,0
22697733,2016,LC,Least Concern,0
22697733,2018,LC,Least Concern,0
22736173,2010,LC,Least Concern,0
22736173,2012,LC,Least Concern,0
22736173,2016,LC,Least Concern,0
22736173,2018,LC,Least Concern,0
